VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge
2.0,2021-01-01 17:14:13,2021-01-01 17:50:35,N,1.0,182,82,1.0,18.52,53.5,0.0,0.5,2.75,6.12,,0.3,63.17,1.0,1.0,0.0
2.0,2021-01-15 19:34:04,2021-01-15 19:49:34,N,1.0,244,140,1.0,6.84,20.5,1.0,0.5,7.52,0.0,,0.3,32.57,1.0,1.0,2.75
2.0,2021-01-19 16:01:31,2021-01-19 16:27:07,N,1.0,130,76,1.0,4.03,18.5,0.0,0.5,3.86,0.0,,0.3,23.16,1.0,1.0,0.0
2.0,2021-01-27 07:31:47,2021-01-27 07:55:01,N,1.0,41,140,1.0,3.47,16.5,0.0,0.5,4.01,0.0,,0.3,24.06,1.0,1.0,2.75
2.0,2021-01-02 14:46:01,2021-01-02 15:09:44,N,1.0,74,164,1.0,5.22,19.0,0.0,0.5,0.0,0.0,,0.3,22.55,2.0,1.0,2.75
2.0,2021-01-23 16:20:07,2021-01-23 16:20:19,N,1.0,75,43,1.0,0.04,2.5,0.0,0.5,0.0,0.0,,0.3,3.3,2.0,1.0,0.0
1.0,2021-01-09 13:27:35,2021-01-09 13:52:18,N,1.0,244,232,1.0,11.9,34.0,2.75,0.5,11.25,0.0,,0.3,48.8,1.0,1.0,2.75
2.0,2021-01-29 20:58:42,2021-01-29 21:10:02,N,1.0,74,244,1.0,2.53,10.5,0.5,0.5,2.36,0.0,,0.3,14.16,1.0,1.0,0.0
2.0,2021-01-11 13:39:55,2021-01-11 13:53:40,N,1.0,52,256,5.0,4.62,16.0,0.0,0.5,3.0,0.0,,0.3,19.8,1.0,1.0,0.0
1.0,2021-01-10 15:31:41,2021-01-10 15:41:32,N,1.0,97,217,2.0,2.2,10.0,0.0,0.5,0.0,0.0,,0.3,10.8,2.0,1.0,0.0
1.0,2021-01-27 21:22:21,2021-01-27 21:24:38,N,1.0,95,95,1.0,0.4,4.0,0.5,0.5,4.0,0.0,,0.3,9.3,1.0,1.0,0.0
2.0,2021-01-04 14:28:53,2021-01-04 14:35:54,N,5.0,250,250,1.0,0.0,15.0,0.0,0.0,0.0,0.0,,0.3,15.3,2.0,2.0,0.0
1.0,2021-01-27 10:17:46,2021-01-27 10:18:32,N,1.0,145,145,1.0,0.0,2.5,0.0,0.5,0.0,0.0,,0.3,3.3,2.0,1.0,0.0
2.0,2021-01-08 10:35:22,2021-01-08 10:45:14,N,1.0,41,75,2.0,1.72,8.5,0.0,0.5,0.0,0.0,,0.3,9.3,2.0,1.0,0.0
2.0,2021-01-29 09:58:55,2021-01-29 10:10:26,N,1.0,75,142,1.0,2.42,10.5,0.0,0.5,2.81,0.0,,0.3,16.86,1.0,1.0,2.75
2.0,2021-01-16 20:53:52,2021-01-16 20:54:40,N,1.0,42,42,1.0,0.0,2.5,0.5,0.5,0.0,0.0,,0.3,3.8,2.0,1.0,0.0
2.0,2021-01-07 22:35:20,2021-01-07 22:37:50,N,1.0,41,166,1.0,0.72,4.0,0.5,0.5,0.0,0.0,,0.3,5.3,1.0,1.0,0.0
2.0,2021-01-19 13:03:37,2021-01-19 13:08:54,N,1.0,41,74,1.0,0.74,5.0,0.0,0.5,1.16,0.0,,0.3,6.96,1.0,1.0,0.0
2.0,2021-01-06 18:58:02,2021-01-06 19:04:30,N,1.0,75,236,1.0,1.19,6.5,1.0,0.5,0.0,0.0,,0.3,11.05,2.0,1.0,2.75
2.0,2021-01-14 16:51:05,2021-01-14 17:03:59,N,1.0,33,264,1.0,2.35,10.5,1.0,0.5,0.0,0.0,,0.3,12.3,2.0,1.0,0.0
2.0,2021-01-01 18:07:56,2021-01-01 18:34:10,N,5.0,69,69,2.0,4.63,20.0,0.0,0.0,0.0,0.0,,0.3,20.3,2.0,2.0,0.0
2.0,2021-01-17 20:47:21,2021-01-17 20:58:00,N,1.0,41,116,1.0,2.13,9.5,0.5,0.5,0.0,0.0,,0.3,10.8,2.0,1.0,0.0
2.0,2021-01-29 07:29:21,2021-01-29 07:35:24,N,1.0,236,236,1.0,0.82,6.0,0.0,0.5,2.39,0.0,,0.3,11.94,1.0,1.0,2.75
1.0,2021-01-23 15:44:01,2021-01-23 15:51:11,N,1.0,97,181,1.0,0.8,6.5,0.0,0.5,1.0,0.0,,0.3,8.3,1.0,1.0,0.0
2.0,2021-01-20 16:18:36,2021-01-20 16:32:52,N,1.0,75,74,1.0,1.29,10.0,1.0,0.5,0.0,0.0,,0.3,11.8,2.0,1.0,0.0
2.0,2021-01-11 12:34:19,2021-01-11 12:36:34,N,1.0,244,244,1.0,0.32,3.5,0.0,0.5,0.0,0.0,,0.3,4.3,1.0,1.0,0.0
1.0,2021-01-23 16:12:35,2021-01-23 16:30:18,N,1.0,65,225,1.0,2.9,13.0,0.0,0.5,0.0,0.0,,0.3,13.8,1.0,1.0,0.0
2.0,2021-01-11 09:31:59,2021-01-11 09:48:21,N,1.0,166,43,1.0,2.3,12.5,0.0,0.5,3.99,0.0,,0.3,17.29,1.0,1.0,0.0
2.0,2021-01-17 18:27:13,2021-01-17 18:27:16,N,1.0,129,264,1.0,0.0,2.5,0.5,0.5,12.0,0.0,,0.3,15.8,1.0,1.0,0.0
2.0,2021-01-06 19:22:58,2021-01-06 19:26:14,N,1.0,75,151,1.0,0.87,5.0,1.0,0.5,1.36,0.0,,0.3,8.16,1.0,1.0,0.0
2.0,2021-01-08 09:58:48,2021-01-08 10:06:39,N,1.0,130,130,1.0,1.47,7.5,0.0,0.5,0.0,0.0,,0.3,8.3,2.0,1.0,0.0
2.0,2021-01-24 14:03:13,2021-01-24 14:39:16,N,1.0,97,95,2.0,10.4,33.0,0.0,0.5,8.45,0.0,,0.3,42.25,1.0,1.0,0.0
1.0,2021-01-21 15:02:13,2021-01-21 15:17:00,N,1.0,65,255,1.0,3.2,13.5,0.5,0.5,2.0,0.0,,0.3,16.8,1.0,1.0,0.0
2.0,2021-01-23 14:53:26,2021-01-23 15:08:03,N,1.0,42,75,1.0,2.72,13.0,0.0,0.5,0.0,0.0,,0.3,13.8,2.0,1.0,0.0
